tweet,clasificacion
"udes destruyeron el país sin llegar al poder, el pueblo colombiano no es tarado, es mas inteligente de lo que creen, y con voto útil por ganaremos en e impediremos que regrese al senado",POSITIVA
"aquí debemos apoyar a hasta el final, nada de nervios.. el 29 debemos salir a votar masivamente para que sepan y entiendan que nosotros ponemos presidente!",NEUTRAL
este es el cambio!daniel se queda...en la calle,NEUTRAL
"ignorante no es uribista,",NEGATIVA
jajajajaja donde? tus seguidores se te voltearon jajajaja,NEUTRAL
"claro que cambiaremos la historia, o cree que el pueblo clmbiano es tarado? es más inteligente de lo que usted cree o con voto útil por sen primera vuelta e impediremos que regrese al senado.",POSITIVA
ya la vi y el hombre es muy claro en lo que dice,POSITIVA
"siga soñando que el pueblo colombiano es tarado, es mas inteligente de lo que creen, y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado",POSITIVA
este personajillo encarna a los camaleones,NEUTRAL
y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"por sentido comun y por la defenda de la democracia, con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.",POSITIVA
solo le digo una cosa y que le quede bien claro...,NEUTRAL
"no entiendo porque se mete con , el man no se mete con usted.falta de respeto de usted.no sea otro uribestia.se está con el señor haga campaña con propuesta y argumentos.",NEGATIVA
con la izq. y con la der,NEGATIVA
por patriotismo y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"jejejeje jejejeje jejejeje muy charro que hablen de unión cuando el discurso ha sido de afrentas.que hablen de democracia cuando han sido un partido de jugaditas""""",NEGATIVA
medio noticiero para el señor señores raro en ustedes,NEUTRAL
horrible es que crecer en un santiamén.,NEGATIVA
a sumercé en su burbuja le parecen poquitos cierto?,NEUTRAL
"jajajajaja, muy dolido porque le fije la verdad del cacas. jajajajaja prefiero ser paraco que un gamin como usd que espera que kingkong y el cacas lo mantengan.",NEGATIVA
"hablándole a la corruptela, se unen o se joden.",NEGATIVA
el viejo como que le va a expropiar la selección a la federación,NEUTRAL
las presentadoras de en emisión hoy 12:30 pmperiodista que cuestionamiento hizo anoche en medellín ?? periodista que dijo anoche en barranquilla?? ahora entienden lo que está mal en el periodismo en nuestro país,NEGATIVA
dios mío. que nivel de cinismo y de premio nobel. y por ahí tenemos uno encantador de ... el que lo entendió lo entendió. presidente.,NEGATIVA
"estuve allí, y participe y muchos amigos y nadie nos ofreció nada, y muchisisima la gente. nosotros no somos como los petristas que les llevan desde buses tamal y dinero",NEUTRAL
"¿esas no son ya las propuestas castrochavistas, neocomunistas que le critican a petro? jajaja",NEUTRAL
ala presidencia.lo demás es comunismo.,NEUTRAL
la gente apoya a recorriendo y conversando se encuentra uno gente con la que me identifico,POSITIVA
así o más claro fico presidente.,POSITIVA
presidente!!! ís,NEUTRAL
marleny se identifica con la tiene muy clara! asi seguimos construyendo y uniendo a colombia.vamos,POSITIVA
doctor es el presidente de la gente. el presidente de la improvisación porque su plan de gobierno es si fundamentos.,NEGATIVA
esto también jajaja uuuuuuhuu,NEUTRAL
"es verdad tenemos que reconciliarnos, que curioso que lo diga en campaña y no haya apoyado el plebiscito por la paz.",NEUTRAL
déjare esto por aquí,NEUTRAL
llevando el mensaje de conversando con la gente de la plaza minosista!,NEUTRAL
"sabemos que petro es una amenaza para las empresas, la industria, las pensiones y la salud, votemos por",NEGATIVA
que dice la gente cuando le preguntamos por,NEUTRAL
vaya a ver ya la encuesta y fíjate que ya todos están casi iguales dale rt.,NEUTRAL
no se desgasten hundió a fajardo. y por patriotismo y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"a las juventudes de izquierdas, jajaja",NEUTRAL
así son los de y los de,NEUTRAL
bienvenido,POSITIVA
adhiero. abrazos de corazón apreciado alfredo.,POSITIVA
"el viejito rodolfo salió más abeja y torcido que petro, acaba de dar tremenda millonada al influencér jeferson cossío para que con todos los youtube apoyen por redes al abuelo y hacer mala publicidad a fico",NEGATIVA
con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado,POSITIVA
"la encuesta con más desaciertos, es la única que lo favorece.porque los colombianos no somos bobos.",NEGATIVA
ganará en primera porque con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado,POSITIVA
hoy sólo hay un candidato verdaderamente antiuribista. fajardo rechazó ese epíteto.el antipetrismo puede estar (como yo en 2018) esperando para saber por quién votar en 2a. con esos candidatos no es de extrañarse.,NEUTRAL
así es.,NEUTRAL
jajaja me identifico con usted y con la tenemos clara con,POSITIVA
"total, el problema es que prueba que esas páginas falsas tienen su operador y quienes trabajan en favor de consolidar a y generando odio en contra de",NEGATIVA
igual farcjardo va a votar por cualquier menos fico en segunda vuelta.es otro que ya contaminaron....,NEGATIVA
fico presidente y en primera vuelta,NEUTRAL
"es una posibilidad real esa, de hecho en 2018 nadie reflexionó (poco lo hicieron realmente en la campaña fajardo y vea el resultado): yo sólo voté en 2a. esta vez voy con petro en 1era. puede haber una diferencia mayor esta vez de abstención entre las dos vueltas.",NEUTRAL
está caído desde cualquier punto de vista en el analisis de esta contienda presidencial.el único que le puede hacer frente a es el .,NEUTRAL
"es el único candidato como k opción de ganar, que no tiene escándalos.",POSITIVA
por aquí hay otrasaludos,NEUTRAL
"estamos de acuerdo, todos por !!!",POSITIVA
"es el candidato de álvaro uribe, representa lo peor de la continuidad de iván duque, y tienen a toda la clase politiquera tradicional apoyándolocolombia ya está unida para lograr el cambio, nos cansamos de la corrupción, del cinismo",NEGATIVA
totalmente de acuerdo porque y han dicho muy claro que van a eliminar los sueldos de retiro de los veteranos,POSITIVA
por fico ni por el putas.,NEGATIVA
"con presidente se le va a garantizar a los adultos mayores un modelo sostenible de pensiones, no se modificará la edad de jubilación y se reducirán los años de cotización. ¡propuestas claras por el futuro de colombia!",POSITIVA
jajaja. que no es el de uribe ni de duque. ¿señor usted piensa que los colombianos le creen tamaña mentira?,NEGATIVA
"ya es hora de que en colombia se empiece a dar a los terroristas encapuchados de las universidades públicas el mismo tratamiento que se da a los raponeros y atracadores en las calles. persecución y captura por parte de la ciudadanía, desenmascararlos, grabarlos y entregarlos",NEGATIVA
"compartir, conversar y socializar el apoyo a la campaña de es de alegría para los líderes miraístas de la , disfrutamos generando estrategias para el servicio a la comunidad. trabajando por el bien comun.",POSITIVA
"desde hace meses cuando empezó su ascenso en las encuestas el petrismo ha tratado de sacarle trapos al sol"" y no ha encontrado nada.""",POSITIVA
se les caen todas las mentiras,NEGATIVA
este domingo 29 de mayo/22colombia vota por,NEUTRAL
"guaro y tamal lo que le gusta al pueblo !! jajaja claro que van a ir como se van a perder un concierto gratis , ni el más despachado caleño que se respete gratis hasta un cocacho ajajjajajaa .",NEUTRAL
por la unión y la libertad yo voto por,POSITIVA
el cambio sigan cayéndose a mentiras... con solo los votos en medellín de los derrota en todo . gracias a dios los paisas son berracos y no se caen a cuentos... allá como en no nos le arrodíllamos a la izquierda,NEUTRAL
quien te dijo pedazo de basura he ignorante floja de la cola federico gutiérrez. lo que vas a ganar es un de palo por el trasero que tanto te gusta. en colombia no necesitamos otro títere como la homosexual de iván duque márquez. siga soñando despierto. jajaja jajaja,NEUTRAL
íco mi voto de confianza es por el presidente de la gente 2022 - 2026,POSITIVA
un placer haber podido compartir con usted vicepresidente el día de hoy. ántico,POSITIVA
quienes han sido los que han llevado a colombia a la pobreza?desde el 2002 está gobernando uribe,NEGATIVA
oye dígame como es para que me paguen por estar a favor de ... se te nota mucho.,NEUTRAL
presidente.,NEUTRAL
"primero ranchería, después lo demás 12 años llena y nada que se usa, ni para turismo",NEUTRAL
por esto y más mi voto es por .fuera continuismo,NEUTRAL
"el problema no es que sea 2, el problema es que él es 4",NEGATIVA
y por qué solo contra y ? esta práctica sucia beneficio a ? porque los allegados a no incluyeron a rodolfo hernández? son harina del mismo costa fico y rh pero en diferente empaque?,NEGATIVA
y sus burdos patanes! que funestos personajes!,NEGATIVA
"si señor o santos dividió el país y el pueblo colombiano no es tarado, es mas inteligente de lo que creen y con voto útil por ganaremos primera e impediremos que regrese al senado",POSITIVA
"nosotros, concentrados en elegir a :",NEUTRAL
el próximo 29 se va a derrotar la abstención y se derrota a la izquierda ortodoxa y la de caviar en primera vuelta con fico,NEGATIVA
"nosotros, concentrados en elegir a :",NEUTRAL
"el desespero del imputado y expresidiario álvaro uribe vélez parece una veleta, primero intentó con después con nombró a y ahora sopla hacia es patético ver a los medios de comunicación intentando inflar a estos corruptos.",NEGATIVA
ni a ni a ¿raro? nada raro.,NEUTRAL
jajjaja njda ¿de donde la sacaron debajo de la manga?que tal que fueran encabezando las encuestas,NEUTRAL
"dizque politóloga y no sabe la verdadera razón de la crisis venezolana, o la sabe y se hace la mk con el fin de usarla para manipular",NEGATIVA
"el desespero del imputado y expresidiario álvaro uribe vélez parece una veleta, primero intentó con después con nombró a y ahora sopla hacia es patético ver a los medios de comunicación intentando inflar a estos corruptos.",NEGATIVA
fico es el continuismo. no es el cambio.,NEGATIVA
divino gracias!! somos una gran familia en defensa de la democracia!!!,POSITIVA
este domingo 29 de mayo/22colombia vota por,NEUTRAL
este domingo 29 de mayo/22colombia vota por,NEUTRAL
este domingo 29 de mayo/22colombia vota por,NEUTRAL
este domingo 29 de mayo/22colombia vota por,NEUTRAL
este domingo 29 de mayo/22colombia vota por,NEUTRAL
"mi vida es bien, la vida de la gente de la guajira, de los campesinos, de los niños que se quedaron sin conectividad ¿eres tolerante con la corrupción? tu problema pero no podemos desconocer el atropello de este gobierno con otras personas mas unión y menos importaculismo",NEGATIVA
también le deseo las mejores para el y para todos los q te estamos apoyando fico q 9 stro padre dios los bendiga y acompañe siempre y amén ayudalos jesús y amén hermanaso 1 desde acá a la distancia,POSITIVA
tan raro ni a ni a,NEUTRAL
amen amen y amen bendiciones san pelayo estará presente,NEUTRAL
"claro como somos estúpidos, para creerles .",NEGATIVA
"si se une al , sale del escenario. pasa rodolfo a segunda vuelta. ve que se los digo.",NEUTRAL
gracias por todo lo qué haces. estas luchas hacen grandes amigos!!!,POSITIVA
cuando uno no está bien informado..... hay gente así.... que le vamos a hacer.,NEUTRAL
es evidente que habrá 2 vuelta en la que nuevamente será derrotado por el terror que su campaña está generando entre los colombianos con sus propuestas destructivas y con sus alianzas y apoyos recibidos de grupos de la delincuencia organizada,NEGATIVA
"nos unimos o nos jodemos: explota contra petro, destapa sus propuestas y dice que no es el de uribe. la entrevista: portada de la",NEUTRAL
"juan, gracias a ti por tu apoyo, ¡vamos para adelante!",POSITIVA
para usted y su q 9 stro padre dios los bendiga y acompañe siempre y amén ayudalos jesús y amén y vamos padelante con toda q 9 stro padre dios está contigo y amén hermanaso 1 desde acá a la distancia,NEUTRAL
salió mejor político que ciclista.,POSITIVA
"llévele a su casa y la pone a bailar......porq la esposa d (presidente), será la primera dama y se comportará como tal!!!!",NEUTRAL
tiene razón ya lo localizaron,NEUTRAL
hace 4 años usted parecía un perro rabioso haciéndole campaña a y mire el petardo q salió ahora usted nos sugiere hacer lo mismo con sos bien cara dura o nos crees imbéciles,NEGATIVA
guarumo.. la única que dijo que ganaría el no!!,NEUTRAL
"qué hará y en segunda vuelta con el maltrato que le están dando a ? espero que de no pasar, no le pidan votos a él ni a sus votantes!",NEGATIVA
yo presidente de la gente,NEUTRAL
en efecto! se joden la corrupción y la parapolitica!! la impunidad ! el desmedro! la ñeñepolitica! se joden!,NEGATIVA
soy orgullosamente uribista duquista zuluaguista a mucho honor ! y votó por y no me avergüenza decirlo .,POSITIVA
"siga con esa papa, después no se arrepienta.",NEGATIVA
"típico, comprobado, el ingeniero está jugando la doble con petro, no nos dejemos engañar.",NEGATIVA
¿así de mal va esa candidatura?,NEGATIVA
ni en segunda.,NEUTRAL
"¡ahora o nunca! el único candidato que puede derrotar a petro y fico en segunda vuelta. colombia está en juego. o devolvemos la página al pasado o trabajamos por escribir una nueva alrededor del respeto, la decencia y la dignidadóneselcamino",POSITIVA
entre 4 exalcaldes de grandes capitalesen su opinión cual fué mejor alcalde en su respectiva ciudad medellín bucaramanga bogotá medellín,NEUTRAL
"á  terminamos nuestro recorrido de campaña junto a con dos hermosas postales. estamos cansados del continuismo y el todo vale, por eso desde decimos á con .",NEUTRAL
¿podemos hacer algo? y demás candidatos presidenciales,NEUTRAL
excelente,POSITIVA
muy poquitos,NEUTRAL
sergio: con todo respeto a su programa faltó ser radical. los indefinidos difícil por la credibilidad.,NEGATIVA
entre 4 exalcaldes de grandes capitalesen su opinión cual fué mejor alcalde en su respectiva ciudad medellín bucaramanga bogotá medellín,NEUTRAL
entonces mejor vota por,POSITIVA
colombia decide entre 4 exalcaldes medellín bogotá bucaramanga medellín votación,NEUTRAL
no hay vuelta atrás el cambio es con y vamos a ganar en primera vuelta no hay petro.,POSITIVA
"gracias a las personas que siguen firmes apoyando esta campaña por redes sociales, sin ustedes twitter sería un lugar lleno de insultos y grosería.aquí somos diferentes",POSITIVA
seguimos en la tarea de llevar esperanza,POSITIVA
"mi voto será por , vamos con toda, no dejarse intimidar ni amedrentar, seguimos con el mejor, fuerza fajardo presidente",POSITIVA
a donde llego ------------------ presidente,NEUTRAL
"hacemos política con convicción, por eso recorremos llevando las propuestas de . desde decimos sí a la . la recepción de la gente a nuestro mensaje es el mejor.á",POSITIVA
"bulto de sal, lo que toca lo destroza, incluye al moir",NEGATIVA
soltameeee hijueputa,NEGATIVA
"en nuestras mismas calles de puedes ver la campaña de la esperanza y la del miedo. cual eliges tú? cual le conviene a colombia?nosotros elegimos la de la esperanza, porque la esperanza es con",POSITIVA
"señor profesor, usted sólito se acabó cuando se fue a ver ballenas.",NEGATIVA
. . si no hacen algo le robaran las votaciones sobre todo a los.minoritarios les transladaran los votos a petro y hernandez convoque a un planton en la procuraduria,NEGATIVA
casa llena ahora con y todo el equipo de la en medellín y antioquia. compartimos un almuerzo y un café alrededor de una conversación sobre la propuesta de y estos ocho días que nos quedan para tener,NEUTRAL
"rosalbita, mi mano derecha en la casa también está",NEUTRAL
noooo! usted tiene los resultados de serias equivocaciones. suyas y de su equipo. no le eche la culpa a que ha sido víctima del juego sucio de uribe con jjrendon! no se siga equivocando!,NEGATIVA
"votar por no será un voto perdido porque votar por la educación no es perder el voto, ni votar por la lucha real contra la corrupción, ni por un país más equitativo y justo. votar por un cambio de verdad nunca será un voto perdido.",POSITIVA
insisto el tema tuyo con leer a fondo....por qué no baja y se da cuenta que la silla vacía le pregunto a una coordinadora y resulta que ella no es.,NEUTRAL
esto es lo que defiendes.,NEUTRAL
desde palenque con la camiseta puesta para el cierre de campaña mañana con porque estamos,NEUTRAL
firmes con presidente vicepresifente,NEUTRAL
fajardo no se cansa de dividir.,NEGATIVA
"este 29 de mayo no votamos por cálculos políticos, votamos por convicción, por la propuesta de cambio y por el mejor candidato . así como , nosotros queremos",POSITIVA
sigo,NEUTRAL
"por lealtad uno no colabora para que el país siga igual, así hizo el ballenero y vea, esa fue su desgracia.no desperdicie ese voto, vote de una vez por los honestos, por el cambio, ayude a acabar la corrupción, vote petro !!!!",NEGATIVA
con el carnet presidencial,NEUTRAL
sergio me mantendré alineado a usted a berence cuente con mi voto,NEUTRAL
en el edificio donde vivo es pequeño4 por 12. x . 1 por el celador por,NEUTRAL
me encanta la gente sensata. vamos colombia por ese cambio positivo.,POSITIVA
"mismo hecho, dos formas de reaccionar diferentes. mientras se solidariza con este arremete contra él. mientras petro sabe que el uribismo es el enemigo de la democracia, fajardo señala sin fundamento. por ello el resultado de las encuestas.",NEUTRAL
"no ni estos 4 le ganan agregados"" la presidencia a fico.""",NEUTRAL
operación jaque ? más bobos nosotros. amanecerá y veremos,NEGATIVA
uy como asi que paso,NEUTRAL
tenemos las mejores propuestas para construir un mejor país.,POSITIVA
"con entusiasmo y compromiso la acompaña a durante su visita por . nada nos detiene, ni las trampas, los engaños y mucho menos las encuestas.á",POSITIVA
"ignorante no es uribista,",NEGATIVA
"petro se defendió por los dos y usted lo ataca, que miserable, por eso le ganan los indecisos y el voto en blanco. el 29 de mayo muere políticamente.",NEGATIVA
"para mi lo imperdonable de fue dejar botados a mos muchachos en las protestas de hace un año, y el diciendo en todo lado que es un profesor.",NEGATIVA
"ahí esta su talente. mientras se solidariza con usted, usted lo ataca.",NEUTRAL
"tuvimos el honor de presidir un encuentro con y los delegados de la coalición centro esperanza del oriente antioqueño. hablamos de las ideas liberales que representa el centro, y la esperanza de cambio en este 2022. todos firmes con hasta el final",POSITIVA
"sr el tiempo te castigó. antes votaste en blanco y te fuiste a ver ballenas uribistas.ahora, el voto en blanco, te está ganando indiscutiblemente.eres el más tibio de colombia.",NEGATIVA
"sospecho que la campaña de rodolfo o la de fico, pero sospecho más de la de rodolfo",NEGATIVA
y nos seguimos multiplicando.,NEUTRAL
el antiguo destruyó al pobre,NEGATIVA
"mi madre desde , tierra mayoritariamente uribista, también está firme con .",NEUTRAL
no se desgasten hundió a fajardo. y por patriotismo y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"estos paisas tienen es mierda en la cabeza,no se pego a nadie,no gana con petro donde era bien recibido, no le acepto el segundo lugar al ing,que también lo necesitaba.",NEGATIVA
"hoy el centro político electoralmente no es viable. desafortunadamente -e irónicamente-, estimado fajardo, el voto en blanco sacará más votos que tú.",NEGATIVA
fajardo péguese a petro y ganamos en primera vuelta pero es un perdedor y no ganan nada.,NEGATIVA
"quizá por odio vota en contra, no piensa en el país. no es farándula, recuerde que rodolfo votó no a la paz. suficientes razones para no irse con él. no se sienta atacado, solo trato de entender la lógica que lleva a tomar esas decisiones, a todas luces incoherentes.",NEGATIVA
"algunos votarán por el tibio fajardo lo hacen con mucho pesar y lástima, sergio no tiene programa serio para gobernar su único discurso es insultar al presidente duque y a uribe y eso le pasó factura y adiós al profesor.",NEGATIVA
igual farcjardo va a votar por cualquier menos fico en segunda vuelta.es otro que ya contaminaron....,NEGATIVA
ariel avila dio la puntilla final,NEUTRAL
"petro con samper proceso 8000 y fico con uribe, mafia muerte y corrupción los mismos con la misma mafia, con la misma corrupción. cual cambió? tenemos que ser responsables, es cuestión de país. la mejor candidatura, la que le conviene al país, es la de centró esperanza, sin duda",NEGATIVA
"por eso mismo, el señor es de lo más incongruente que hay que solo demuestra ignorancia. igual usted sabe que su candidato principal no va a lograr nada, por substracción de materia, apoya a rodolfo y el continuismo.",NEGATIVA
fico presidente y en primera vuelta,NEUTRAL
"terminamos este encuentro con líderes del oriente antioqueño y . valioso espacio para dialogar, escucharnos y seguir construyendo la mejor propuesta de cambio para colombia, la del profe",POSITIVA
"este 29 de mayo vote por el que usted quiera, menos, claro está, por , y",NEUTRAL
"recuerda que los dos son de alas opuestas, fico-urine paracos narcoparapolíticos, rodolfo es apoyado por urine, él mismo dijo que tenía una deuda con ese bandido. no suena muy coherente su posición. rodolfo de centro no tiene nada, admira a hitler. urine es continuismo",NEGATIVA
traducción: se va por el continuismo si o si.,NEUTRAL
¿usted es así de bruto?¿o eso lo dice para enredar bobos?después de su decisión de votar en blanco e irse a mirar ballenas debió retirarse porque con ese acto se despidió de la política.hoy sale por la puerta de atrás,NEGATIVA
"vamos querido, hagámoslo por nosotros, por darle el valor a nuestras ideas",POSITIVA
¡el tiempo se acabó! y son la clave para derrotar la corrupción y darle a colombia una nueva era alejada de la violencia con tintes ideológicos que tienen en el abandono al pueblo colombiano.,NEUTRAL
vengo a presumir foto con un real liberal. . firmes con,NEUTRAL
ya no da ni rabia,NEUTRAL
pobre hipócrita.,NEGATIVA
se puede los principios el positivemos y la esperanza tiene más peso que las encuestas,POSITIVA
oye dígame como es para que me paguen por estar a favor de ... se te nota mucho.,NEUTRAL
"más respeto, por favor",NEUTRAL
"triste, pero somos más los buenos",POSITIVA
y petro y los petristas no tiran cizaña? jajaja la doble moral,NEGATIVA
ahí está pintado el cetólogo . . .,NEUTRAL
y por qué solo contra y ? esta práctica sucia beneficio a ? porque los allegados a no incluyeron a rodolfo hernández? son harina del mismo costa fico y rh pero en diferente empaque?,NEUTRAL
"el error de fajardo fue creer que tenían los votos de esa consulta, jajajaja",NEGATIVA
"el enemigo de colombia, es petro.",NEGATIVA
"capacidad de unir, honestidad, decir la verdad, conocimiento y coraje. estas son las características esenciales de un líder político y creo que las tiene todas.",POSITIVA
"si amas a tu país, deberías tomar la decisión de unirte al ingeniero. es hora de demostrar tu altura cívica e intelectual. deja el orgullo a un lado y haz lo que debes hacer por todos la historia te lo reconocerá al igual que el pueblo.",POSITIVA
siga con la silla vacía....,NEUTRAL
"fajardo su vice y su grsn equipo de trabajo, es voluntad política humildad preparacion inteligencia y propósito por un mejor colombia",POSITIVA
"en nuestro archipiélago no habrá un voto para , habrá miles. esta semana es decisiva y seguiremos trabajando para generar sensatez colectiva y objetivamente decidir por el mejor candidato.",POSITIVA
firme y optimista,POSITIVA
"si se une al , sale del escenario. pasa rodolfo a segunda vuelta. ve que se los digo.",NEUTRAL
"la lucha que estamos dando es por la colombia que nos merecemos, yo sigo firme creyendo en una política de principios, transparente, decente, que tenga a la educación como un motor de la transformación yo oscar sigo firme y también quiero el país que me merezco",POSITIVA
"es más lo que nos une,es y son procesos de país no es solo personal,y la verdad en estos momentos el proyecto con y el correcto que se requiere para el país .por eso dejen terquedad",POSITIVA
recordemos que el hijo de petro le pago a poncho hace un año para que saludara a gustavo... no van a decir nada,NEUTRAL
oye crespo pa contarte que por este lado estamos y vamos contigo hasta el final mañana nos vemos en la,NEUTRAL
"hoy una persona me dijo que las formas si importan y con las formas se construye, por eso votará por",NEUTRAL
guarumo.. la única que dijo que ganaría el no!!,NEUTRAL
más impacto social,NEUTRAL
"ella ya sacó un comunicado, que a mi modo de ver tiene mejor beneficio que una denuncia.",POSITIVA
sigo con la convicción de que colombia cambiará!! con fajardo y murillo lo vamos a lograr,POSITIVA
"la única política correcta es la de los principios. mejor programa, mejor equipo, mejor ejemplo. . votar útil es ver reflejada la de nuestros sueños en las urnas. ni más, ni menos.",POSITIVA
"tan duro me le están dando al viejito bello , que si en 2a vuelta necesitan sus votos desde ya me voy a ver ballenitas con",NEUTRAL
pues valla empacando sus maletas para que se valla de una vez con todos los uribistas por el cambio ya llegó,NEUTRAL
"a le recomiendo ir a ver ballenas antes del 29 de mayo, adelante ese viaje, no pierda el tiempo...",NEUTRAL
"nos vemos hoy en el parque fundacional de ón, en apoyo a .",POSITIVA
ese invento de fajardo aquí no sirve aquí solo existe izquierda y derecha,NEGATIVA
"esos dices hoy, pero esta ultima semana antes de elecciones, le tocará el turno a y al de arrodillarse ante el ñero por órden del hijo del diablo, .este ya quemó a sus otros muñecos, y a .vota fico.",NEGATIVA
"desde bien temprano, con periódico en mano, nos tomamos la comuna 16 en medellín para seguir pedaleando por tener . estamos con la convicción intacta y las ganas de trabajar por el profe a tope ¡seguimos!",POSITIVA
"jajajajaja, ustedes son las personas que le han echo daño a toda. colombia oh, que me dice benedettyroypiedadzuleta la que adorala primera líneafrancia márquezetc etc etc jamás ganara ala finano unimos todos los buenos l",NEGATIVA
"para el peteismo, fue válido el vídeo de la cuando sacaron el vídeo de , pero con el vídeo de ya salieron a atacar todo lo que dijo! el petrismo es una secta espantosa",NEGATIVA
"con un en el ocaso,en mi análisis post al triunfo de creo que debería tener una reigeneria total ,ojo partiendo de que las regiones participen en esa toma de desiciones",NEUTRAL
a mi no me interesa si pasa o no a segunda vuelta. mi voto en primera se mantiene firme por él porque es un voto por el mejor programa de gobierno y el único candidato capaz de dirigir el estado. voy a votar por quien quiero y no en contra de alguien.,POSITIVA
"fajardo, primo de lina moreno de uribe...no olvidarlo...",NEUTRAL
"totalmente si el hombre en llamas en el ocaso, será que pudo más los intereses individuales?? será que yenifer seguirá los mismos pasos de ? será que con el nuevo proyecto de país con el tendrá reigeneria???",NEUTRAL
"ya decidí mi voto por el único candidato que presenta consistencia aunque manejar este país le será difícil. es un voto hecho a conciencia. que es perdido, que no sirve, no me importa. no me parece el más simpático, pero es lo que me dicta la conciencia.",POSITIVA
el mensaje es claro: somos la mejor propuesta para transformar a colombia y vamos a pasar a la segunda vuelta. óneselcamino,POSITIVA
y después se ofenden cuando uno les dice que y son el caballo de troya de el país despertó y nada va a detener el cambio que se viene con y,NEGATIVA
ni los congresistas tienen idea del legislativo,NEUTRAL
"entiende que no son los números, es la forma de hacer las cosas para que esos números favorezca o favorezcan a alguien, mi voto no es por encuestas, es por convicción, porque yo siento que fajardo es el candidato más afín con mi personalidad.",POSITIVA
esta quemado.,NEGATIVA
"pero ojo! mucho ojo!!! votar temprano!y los testigos electorales (del pacto histórico) . . . abejas!!! * a sumercedes, gracias, infinitas gracias!!!",NEUTRAL
estás en las bodegas amigo?,NEUTRAL
"al aire  hoy, con . el candidato de la explica en detalle su programa de gobierno y su plan para llegar a la presidencia de colombia.",NEUTRAL
"ahora falta la unión de a la única para sacar del juego a la corrutela de este país y que esta vez realmente por punta y punta el pueblo sea quien ponga presidente. no los gea, aval, ardilas, santodomingos, char...y el paramilitarismo en general.",NEGATIVA
"no nos dejamos manipular por encuestas y por medio de comunicación, vamos hasta el final, con el candidato más preparado y decente de todos",POSITIVA
en qué momento va a criticar o desautorizar las grotescas palabras de en contra de ?,NEGATIVA
"sí, dura labor. y bien que la lidere aunque siento que si no se logra esta vez, no debería insistir más en la candidatura. le hicieron mucho daño años de ataque, lo quemaron con guerra sucia, como bien confesó una alfil de ese izquierda sin ética que tenemos hoy",NEGATIVA
no ves que por ambición dejo su puesto y quedo desempleado!!!,NEGATIVA
"estás quemado , petro cacas te infiltró",NEGATIVA
si en antioquia solo hay un voto para es el mio. firmes hasta el final creyendo en la mejor propuesta para colombia,POSITIVA
"el voto programático parece ser la solución ante tanto populismo, tanto de izquierda, como de derecha. en cuanto a programa"" estrictamente hablando, el del profe es el más aterrizado, por ende el más viable. no coma cuento de las encuestas amañadas!""",POSITIVA
la lealtad es con su país y el pueblo inteligente y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"y porque el ing. no se une a fajardo porque ambos quieren ser figurín hay demuestra su afán de figurar de ser únicos por eso ninguno se los dos se a pegado a petro,quieren la torta mayor,su ambición es extrema y peligrosa.",NEGATIVA
y si ha tenido varias denuncias que no se citan a juicio porque no tienen justificación alguna. la única vez que fue a juicio después de cumplir condena en 1985 fue cuando testificó contra samuel moreno en el caso del cartel de la contratación.,NEUTRAL
¡manden fotos!,NEUTRAL
el mejor chiste de crisanto.,NEUTRAL
súbase de una qué hay puesto,NEUTRAL
"se vota por un ser tibio y sin criterio.se vota por alguien que a cambio de ayudar al país a salir del uribismo prefirió irse a ver ballenas.se vota por otra carta de uribe, pero con cara de bonachón como duque!!!",NEGATIVA
¡ necesitamos un acuerdo sobre lo fundamental ! primero está colombia que sus ambiciones personales.,NEUTRAL
"fue un error recibir el apoyo de este nefasto personaje, acabo con",NEGATIVA
ayayayyy..... de guatemala a guatepeor.empieza uno a estresarce ante el futuro que nos espera con estas opciones.tocó votar por,NEGATIVA
que a le gane el orgullo y no se adhiera a si de verdad colombia le importara...,NEUTRAL
"hay algo que no se puede comprar ni comparar, me refiero a la conciencia tranquila y consecuentemente la paz que refleja, el hacer una campaña transparente, sin compra de votos, ni engaños a la gente.gracias mi admiración por ti es grande!",POSITIVA
segun el petro si.. claro quiere durar 50 años mandando y autocratizando el país,NEUTRAL
estas bobeando mano,NEGATIVA
feliz día del padre,POSITIVA
todo colombia a votar por el mejor presidente vicepresidente,POSITIVA
si lo supera el voto en blanco ya debió haberse ido ufff hace tiempo,NEUTRAL
todo colombia a votar por el mejor presidente vicepresidente,POSITIVA
"si ven que todas la campañas tienen seguidores extremistas y furiosos, que emanan odio !!!!! todos son la misma vaina !!!!!",NEGATIVA
sus pronósticos dan risa......,NEUTRAL
